Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Ilya and Escalator                    ,                518D,2025,,https://www.codeforces.com/problemset/problem/518/D,Codeforces,"['combinatorics', 'dp', 'probabilities']",,
Anya and Smartphone                    ,                518C,3079,,https://www.codeforces.com/problemset/problem/518/C,Codeforces,"['data structures', 'implementation']",,
Tanya and Postcard                    ,                518B,3505,,https://www.codeforces.com/problemset/problem/518/B,Codeforces,"['implementation', 'strings']",,
Vitaly and Strings                    ,                518A,3768,,https://www.codeforces.com/problemset/problem/518/A,Codeforces,['strings'],,
Drazil and His Happy Friends                    ,                516E,42,,https://www.codeforces.com/problemset/problem/516/E,Codeforces,"['math', 'number theory']",,
Drazil and Morning Exercise                    ,                516D,209,,https://www.codeforces.com/problemset/problem/516/D,Codeforces,"['dfs and similar', 'dp', 'dsu', 'trees', 'two pointers']",,
Drazil and Park                    ,                515E,744,,https://www.codeforces.com/problemset/problem/515/E,Codeforces,['data structures'],,
Drazil and Tiles                    ,                515D,1538,,https://www.codeforces.com/problemset/problem/515/D,Codeforces,"['constructive algorithms', 'greedy']",,
Drazil and Factorial                    ,                515C,5374,,https://www.codeforces.com/problemset/problem/515/C,Codeforces,"['greedy', 'math', 'sortings']",,
Drazil and His Happy Friends                    ,                515B,3492,,https://www.codeforces.com/problemset/problem/515/B,Codeforces,"['brute force', 'dsu', 'meet-in-the-middle', 'number theory']",,
Drazil and Date                    ,                515A,5928,,https://www.codeforces.com/problemset/problem/515/A,Codeforces,['math'],,
Darth Vader and Tree                    ,                514E,456,,https://www.codeforces.com/problemset/problem/514/E,Codeforces,"['dp', 'matrices']",,
R2D2 and Droid Army                    ,                514D,1066,,https://www.codeforces.com/problemset/problem/514/D,Codeforces,"['binary search', 'data structures', 'two pointers']",,
Watto and Mechanism                    ,                514C,1501,,https://www.codeforces.com/problemset/problem/514/C,Codeforces,"['binary search', 'hashing', 'string suffix structures', 'strings']",,
Han Solo and Lazer Gun                    ,                514B,3986,,https://www.codeforces.com/problemset/problem/514/B,Codeforces,"['brute force', 'data structures', 'geometry', 'math']",,
Chewbaсca and Number                    ,                514A,5793,,https://www.codeforces.com/problemset/problem/514/A,Codeforces,"['greedy', 'implementation']",,
Inversions problem                    ,                513G3,41,,https://www.codeforces.com/problemset/problem/513/G3,Codeforces,['dp'],,
Inversions problem                    ,                513G2,315,,https://www.codeforces.com/problemset/problem/513/G2,Codeforces,"['dp', 'probabilities']",,
Inversions problem                    ,                513G1,1368,,https://www.codeforces.com/problemset/problem/513/G1,Codeforces,"['brute force', 'dfs and similar', 'dp', 'meet-in-the-middle']",,
Scaygerboss                    ,                513F2,95,,https://www.codeforces.com/problemset/problem/513/F2,Codeforces,['flows'],,
Scaygerboss                    ,                513F1,112,,https://www.codeforces.com/problemset/problem/513/F1,Codeforces,['flows'],,
Subarray Cuts                    ,                513E2,122,,https://www.codeforces.com/problemset/problem/513/E2,Codeforces,['dp'],,
Subarray Cuts                    ,                513E1,219,,https://www.codeforces.com/problemset/problem/513/E1,Codeforces,['dp'],,
