Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Icerink,205,6,,http://www.spoj.com/problems/ICERINK/,Spoj,,,
Bitmap,206,4159,,http://www.spoj.com/problems/BITMAP/,Spoj,,,
Three-coloring of binary trees,207,576,,http://www.spoj.com/problems/THREECOL/,Spoj,,,
Store-keeper,208,83,,http://www.spoj.com/problems/STORE/,Spoj,,,
The Map,209,207,,http://www.spoj.com/problems/MAP/,Spoj,,,
The Altars,210,42,,http://www.spoj.com/problems/ALTARS/,Spoj,,,
Primitivus recurencis,211,170,,http://www.spoj.com/problems/PRIMIT/,Spoj,,,
Water among Cubes,212,561,,http://www.spoj.com/problems/WATER/,Spoj,,,
Panic in the Plazas,215,57,,http://www.spoj.com/problems/PANIC/,Spoj,,,
Soldiers on Parade,217,114,,http://www.spoj.com/problems/SOPARADE/,Spoj,,,
Relevant Phrases of Annihilation,220,422,,http://www.spoj.com/problems/PHRASES/,Spoj,,,
Vonny and her dominos,224,302,,http://www.spoj.com/problems/VONNY/,Spoj,,,
Jewelry and Fashion,226,14,,http://www.spoj.com/problems/JEWELS/,Spoj,,,
Ordering the Soldiers,227,996,,http://www.spoj.com/problems/ORDERS/,Spoj,,,
Shamans,228,120,,http://www.spoj.com/problems/SHAMAN/,Spoj,,,
Sorting is easy,229,113,,http://www.spoj.com/problems/SORTING/,Spoj,,,
The Zebra Crossing,231,1,,http://www.spoj.com/problems/ZEBRA/,Spoj,,,
Getting Rid of the Holidays (Act I),234,73,,http://www.spoj.com/problems/HOLIDAY1/,Spoj,,,
Very Fast Multiplication,235,360,,http://www.spoj.com/problems/VFMUL/,Spoj,,,
Converting number formats,236,141,,http://www.spoj.com/problems/ROMAN/,Spoj,,,
Sums in a Triangle,237,2745,,http://www.spoj.com/problems/SUMITR/,Spoj,,,
Getting Rid of the Holidays (Act II),238,50,,http://www.spoj.com/problems/HOLIDAY2/,Spoj,,,
Tour de Byteland,239,79,,http://www.spoj.com/problems/BTOUR/,Spoj,,,
Arranging the Blocks,241,48,,http://www.spoj.com/problems/BLOCKS/,Spoj,,,
Stable Marriage Problem,243,987,,http://www.spoj.com/problems/STABLEMP/,Spoj,,,
Square Root,245,408,,http://www.spoj.com/problems/SQRROOT/,Spoj,,,
Chocolate,247,2181,,http://www.spoj.com/problems/CHOCOLA/,Spoj,,,
Containers,260,240,,http://www.spoj.com/problems/CTAIN/,Spoj,,,
Triangle Partitioning,261,187,,http://www.spoj.com/problems/TRIPART/,Spoj,,,
Connections,262,89,,http://www.spoj.com/problems/CONNECT/,Spoj,,,
Period,263,1129,,http://www.spoj.com/problems/PERIOD/,Spoj,,,
Corporative Network,264,343,,http://www.spoj.com/problems/CORNET/,Spoj,,,
Cave Exploration,272,34,,http://www.spoj.com/problems/CAVE/,Spoj,,,
Johnny and the Watermelon Plantation,274,209,,http://www.spoj.com/problems/WMELON/,Spoj,,,
The Water Ringroad,275,2,,http://www.spoj.com/problems/WATERWAY/,Spoj,,,
City Game,277,819,,http://www.spoj.com/problems/CTGAME/,Spoj,,,
Bicycle,278,53,,http://www.spoj.com/problems/BICYCLE/,Spoj,,,
Interesting number,279,456,,http://www.spoj.com/problems/INUMBER/,Spoj,,,
Lifts,280,42,,http://www.spoj.com/problems/LIFTS/,Spoj,,,
Naptime,283,128,,http://www.spoj.com/problems/NAPTIME/,Spoj,,,
Selfish Cities,286,495,,http://www.spoj.com/problems/SCITIES/,Spoj,,,
Smart Network Administrator,287,292,,http://www.spoj.com/problems/NETADMIN/,Spoj,,,
Prime or Not,288,2010,,http://www.spoj.com/problems/PON/,Spoj,,,
Polynomial Equations,290,53,,http://www.spoj.com/problems/POLYEQ/,Spoj,,,
Cube Root,291,181,,http://www.spoj.com/problems/CUBERT/,Spoj,,,
Alibaba,292,137,,http://www.spoj.com/problems/ALIBB/,Spoj,,,
Officers on the Beat,293,8,,http://www.spoj.com/problems/OFBEAT/,Spoj,,,
Teamwork is Crucial,296,53,,http://www.spoj.com/problems/TWORK/,Spoj,,,
Aggressive cows,297,4377,,http://www.spoj.com/problems/AGGRCOW/,Spoj,,,
Cable TV Network,300,316,,http://www.spoj.com/problems/CABLETV/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Booklets,301,176,,http://www.spoj.com/problems/BOOK/,Spoj,,,
Count on Cantor,302,7590,,http://www.spoj.com/problems/CANTON/,Spoj,,,
The Unstable Cube,303,44,,http://www.spoj.com/problems/UCUBE/,Spoj,,,
The Room Pattern,309,44,,http://www.spoj.com/problems/RATTERN/,Spoj,,,
Pythagorean Legacy,318,27,,http://www.spoj.com/problems/PITPAIR/,Spoj,,,
The Tall Windmills,325,74,,http://www.spoj.com/problems/WINDMILL/,Spoj,,,
Platon and Socrates,327,46,,http://www.spoj.com/problems/PLATON/,Spoj,,,
Bishops,328,5097,,http://www.spoj.com/problems/BISHOPS/,Spoj,,,
Calls,329,115,,http://www.spoj.com/problems/CALLS/,Spoj,,,
Hard Question,332,100,,http://www.spoj.com/problems/HARDQ/,Spoj,,,
The Philosophical Dispute,334,50,,http://www.spoj.com/problems/PHDISP/,Spoj,,,
Exchange Operations,336,65,,http://www.spoj.com/problems/EOPERA/,Spoj,,,
Roads,338,842,,http://www.spoj.com/problems/ROADS/,Spoj,,,
Recursive Sequence,339,993,,http://www.spoj.com/problems/SEQ/,Spoj,,,
Poker,344,774,,http://www.spoj.com/problems/POKER/,Spoj,,,
Mixtures,345,3663,,http://www.spoj.com/problems/MIXTURES/,Spoj,,,
Bytelandian gold coins,346,9835,,http://www.spoj.com/problems/COINS/,Spoj,,,
Lazy Cows,347,185,,http://www.spoj.com/problems/LAZYCOWS/,Spoj,,,
Expedition,348,603,,http://www.spoj.com/problems/EXPEDI/,Spoj,,,
Around the world,349,77,,http://www.spoj.com/problems/AROUND/,Spoj,,,
Landscaping,350,83,,http://www.spoj.com/problems/LANDSCAP/,Spoj,,,
Ha-noi!,351,377,,http://www.spoj.com/problems/HAN01/,Spoj,,,
Alpha Centauri Tennis,359,1118,,http://www.spoj.com/problems/ACT/,Spoj,,,
Ignore the Garbage,362,363,,http://www.spoj.com/problems/IGARB/,Spoj,,,
Pocket Money,364,1318,,http://www.spoj.com/problems/LISA/,Spoj,,,
Phidias,365,796,,http://www.spoj.com/problems/PHIDIAS/,Spoj,,,
Farmer,366,219,,http://www.spoj.com/problems/FARMER/,Spoj,,,
Empodia,367,149,,http://www.spoj.com/problems/EMPODIA/,Spoj,,,
Cobbled streets,368,2352,,http://www.spoj.com/problems/CSTREET/,Spoj,,,
Math I,369,83,,http://www.spoj.com/problems/MATH1/,Spoj,,,
Ones and zeros,370,1657,,http://www.spoj.com/problems/ONEZERO/,Spoj,,,
Boxes,371,429,,http://www.spoj.com/problems/BOXES/,Spoj,,,
The Benefactor,372,1243,,http://www.spoj.com/problems/BENEFACT/,Spoj,,,
Greedy island,373,274,,http://www.spoj.com/problems/GREED/,Spoj,,,
Count maximum matrices,374,216,,http://www.spoj.com/problems/MATRIX/,Spoj,,,
Query on a tree,375,1893,,http://www.spoj.com/problems/QTREE/,Spoj,,,
A concrete simulation,376,1388,,http://www.spoj.com/problems/ACS/,Spoj,,,
Taxi,377,796,,http://www.spoj.com/problems/TAXI/,Spoj,,,
Ambiguous Permutations,379,7438,,http://www.spoj.com/problems/PERMUT2/,Spoj,,,
Bullshit Bingo,380,658,,http://www.spoj.com/problems/BINGO/,Spoj,,,
106 miles to Chicago,381,1819,,http://www.spoj.com/problems/CHICAGO/,Spoj,,,
Decorate the wall,382,208,,http://www.spoj.com/problems/DECORATE/,Spoj,,,
European railroad tracks,383,221,,http://www.spoj.com/problems/EUROPEAN/,Spoj,,,
Any fool can do it,384,360,,http://www.spoj.com/problems/FOOL/,Spoj,,,
Game schedule required,385,141,,http://www.spoj.com/problems/GAME/,Spoj,,,
Help the problem setter,386,93,,http://www.spoj.com/problems/HELP/,Spoj,,,
Travelling tours,387,261,,http://www.spoj.com/problems/TOURS/,Spoj,,,
Menu,388,264,,http://www.spoj.com/problems/MENU/,Spoj,,,
Use of Hospital Facilities,389,34,,http://www.spoj.com/problems/HOSPITAL/,Spoj,,,
Billiard,390,737,,http://www.spoj.com/problems/BILLIARD/,Spoj,,,
Name,Slug,Submissions,Accuracy,QuestionURL,Platform,Tags,LanguagesAllowed,DateAdded
Intervals,116,289,,http://www.spoj.com/problems/INTERVAL/,Spoj,,,
Rhombs,118,62,,http://www.spoj.com/problems/RHOMBS/,Spoj,,,
